r030,txt,rate,cc,exchangedate
12,Алжирський динар,0.33388,DZD,11.03.2026
36,Австралійський долар,31.2171,AUD,11.03.2026
50,Така,0.35836,BDT,11.03.2026
124,Канадський долар,32.3758,CAD,11.03.2026
156,Юань Женьміньбі,6.3806,CNY,11.03.2026
203,Чеська крона,2.0939,CZK,11.03.2026
208,Данська крона,6.8314,DKK,11.03.2026
344,Гонконгівський долар,5.6062,HKD,11.03.2026
348,Форинт,0.132396,HUF,11.03.2026
356,Індійська рупія,0.47777,INR,11.03.2026
360,Рупія,0.0026007,IDR,11.03.2026
376,Новий ізраїльський шекель,14.1877,ILS,11.03.2026
392,Єна,0.27798,JPY,11.03.2026
398,Теньге,0.08999,KZT,11.03.2026
410,Вона,0.029832,KRW,11.03.2026
422,Ліванський фунт,0.00049,LBP,11.03.2026
458,Малайзійський ринггіт,11.1795,MYR,11.03.2026
484,Мексиканське песо,2.5003,MXN,11.03.2026
498,Молдовський лей,2.5424,MDL,11.03.2026
554,Новозеландський долар,26.0501,NZD,11.03.2026
578,Норвезька крона,4.5774,NOK,11.03.2026
682,Саудівський ріял,11.6867,SAR,11.03.2026
702,Сінгапурський долар,34.4778,SGD,11.03.2026
704,Донг,0.0016718,VND,11.03.2026
710,Ренд,2.6922,ZAR,11.03.2026
752,Шведська крона,4.8097,SEK,11.03.2026
756,Швейцарський франк,56.5387,CHF,11.03.2026
764,Бат,1.38595,THB,11.03.2026
784,Дирхам ОАЕ,11.9419,AED,11.03.2026
788,Туніський динар,15.0204,TND,11.03.2026
818,Єгипетський фунт,0.8436,EGP,11.03.2026
826,Фунт стерлінгів,58.9646,GBP,11.03.2026
840,Долар США,43.8627,USD,11.03.2026
941,Сербський динар,0.43468,RSD,11.03.2026
944,Азербайджанський манат,25.797,AZN,11.03.2026
946,Румунський лей,10.0205,RON,11.03.2026
949,Турецька ліра,0.9958,TRY,11.03.2026
960,СПЗ (спеціальні права запозичення),59.9581,XDR,11.03.2026
978,Євро,51.0386,EUR,11.03.2026
981,Ларі,16.0305,GEL,11.03.2026
985,Злотий,11.9935,PLN,11.03.2026
959,Золото,227402.22,XAU,11.03.2026
961,Срібло,3884.03,XAG,11.03.2026
962,Платина,97096.23,XPT,11.03.2026
964,Паладій,74377.98,XPD,11.03.2026
